commune,Wilaya_name,Wilaya
Adrar,Adrar,Adrar
Akabli,Adrar,Chlef
Aougrout,Adrar,Laghouat
Aoulef,Adrar,Oum El Bouaghi
Bordj Badji Mokhtar,Adrar,Batna
Bouda,Adrar,Béjaïa
Charouine,Adrar,Biskra
Deldoul,Adrar,Béchar
In Zghmir,Adrar,Blida
In Zghmir,Adrar,Bouira
Ksar Kaddour,Adrar,Tamanrasset
Metarfa,Adrar,Tébessa
Ouled Ahmed Tammi,Adrar,Tlemcen
Ouled Aïssa,Adrar,Tiaret
Ouled Saïd,Adrar,Tizi Ouzou
Reggane,Adrar,Alger
Sali,Adrar,Djelfa
Sebaa,Adrar,Jijel
Talmine,Adrar,Sétif
Tamantit,Adrar,Saïda
Tamekten,Adrar,Skikda
Tamest,Adrar,Sidi Bel Abbès
Timiaouine,Adrar,Annaba
Timimoun,Adrar,Guelma
Tinerkouk,Adrar,Constantine
Tit,Adrar,Médéa
Tsabit,Adrar,Mostaganem
Zaouiet Kounta,Adrar,M'Sila
Abou El Hassan,Chlef,Mascara
Aïn Merane,Chlef,Ouargla
Bénairia,Chlef,Oran
Beni Bouateb,Chlef,El Bayadh
Beni Haoua,Chlef,Illizi
Beni Rached,Chlef,Bordj Bou Arreridj
Boukadir,Chlef,Boumerdès
Bouzeghaia,Chlef,El Tarf
Breira,Chlef,Tindouf
Chettia,Chlef,Tissemsilt
Chlef,Chlef,El Oued
Dahra,Chlef,Khenchela
El Hadjadj,Chlef,Souk Ahras
El Karimia,Chlef,Tipaza
El Marsa,Chlef,Mila
Harchoun,Chlef,Aïn Defla
Harenfa,Chlef,Naâma
Labiod Medjadja,Chlef,Aïn Témouchent
Moussadek,Chlef,Ghardaïa
Oued Fodda,Chlef,Relizane
Oued Goussine,Chlef,
Oued Sly,Chlef,
Ouled Abbes,Chlef,
Ouled Ben Abdelkader,Chlef,
Ouled Fares,Chlef,
Oum Drou,Chlef,
Sendjas,Chlef,
Sidi Abderrahmane,Chlef,
Sidi Akkacha,Chlef,
Sobha,Chlef,
Tadjena,Chlef,
Talassa,Chlef,
Taougrite,Chlef,
Ténès,Chlef,
Zeboudja,Chlef,
Aflou,Laghouat,
Aïn Madhi,Laghouat,
Aïn Sidi Ali,Laghouat,
Beidha,Laghouat,
Bennasser Benchohra,Laghouat,
Brida,Laghouat,
El Assafia,Laghouat,
El Ghicha,Laghouat,
El Houaita,Laghouat,
Gueltat Sidi Saad,Laghouat,
Hadj Mechri,Laghouat,
Hassi Delaa,Laghouat,
Hassi R'Mel,Laghouat,
Kheneg,Laghouat,
Ksar El Hirane,Laghouat,
Laghouat,Laghouat,
Oued M'Zi,Laghouat,
Oued Morra,Laghouat,
Sebgag,Laghouat,
Sidi Bouzid,Laghouat,
Sidi Makhlouf,Laghouat,
Tadjemout,Laghouat,
Tadjrouna,Laghouat,
Taouiala,Laghouat,
Aïn Babouche,Oum El Bouaghi,
Aïn Beïda,Oum El Bouaghi,
Aïn Diss,Oum El Bouaghi,
Aïn Fakroun,Oum El Bouaghi,
Aïn Kercha,Oum El Bouaghi,
Aïn M'lila,Oum El Bouaghi,
Aïn Zitoun,Oum El Bouaghi,
Behir Chergui,Oum El Bouaghi,
Berriche,Oum El Bouaghi,
Bir Chouhada,Oum El Bouaghi,
Dhalaa,Oum El Bouaghi,
El Amiria,Oum El Bouaghi,
El Belala,Oum El Bouaghi,
El Djazia,Oum El Bouaghi,
El Fedjoudj Boughrara Saoudi,Oum El Bouaghi,
El Harmilia,Oum El Bouaghi,
Fkirina,Oum El Bouaghi,
Hanchir Toumghani,Oum El Bouaghi,
Ksar Sbahi,Oum El Bouaghi,
Meskiana,Oum El Bouaghi,
Oued Nini,Oum El Bouaghi,
Ouled Gacem,Oum El Bouaghi,
Ouled Hamla,Oum El Bouaghi,
Ouled Zouaï,Oum El Bouaghi,
Oum el Bouaghi,Oum El Bouaghi,
Rahia,Oum El Bouaghi,
Sigus,Oum El Bouaghi,
Souk Naamane,Oum El Bouaghi,
Zorg,Oum El Bouaghi,
Abdelkader Azil,Batna,
Aïn Djasser,Batna,
Aïn Touta,Batna,
Aïn Yagout,Batna,
Arris,Batna,
Barika,Batna,
Batna,Batna,
Ben Foudhala El Hakania,Batna,
Bitam,Batna,
Boulhilat,Batna,
Boumagueur,Batna,
Boumia (Batna),Batna,
Bouzina,Batna,
Chemora,Batna,
Chir,Batna,
Djerma,Batna,
Djezar,Batna,
El Hassi,Batna,
El Madher,Batna,
Fesdis,Batna,
Foum Toub,Batna,
Ghassira,Batna,
Gosbat,Batna,
Guigba,Batna,
Hidoussa,Batna,
Ichmoul,Batna,
Inoughissen,Batna,
Kimmel,Batna,
Ksar Bellezma,Batna,
Larbaâ,Batna,
Lazrou,Batna,
Lemsane,Batna,
M'doukel,Batna,
Maafa,Batna,
Menaa,Batna,
Merouana,Batna,
N'Gaous,Batna,
Oued Chaaba,Batna,
Oued El Ma,Batna,
Oued Taga,Batna,
Ouled Ammar,Batna,
Ouled Aouf,Batna,
Ouled Fadel,Batna,
Ouled Sellam,Batna,
Ouled Si Slimane,Batna,
Ouyoun El Assafir,Batna,
Rahbat,Batna,
Ras El Aioun,Batna,
Sefiane,Batna,
Seggana,Batna,
Seriana,Batna,
T'Kout,Batna,
Talkhamt,Batna,
Taxlent,Batna,
Tazoult,Batna,
Teniet El Abed,Batna,
Tighanimine,Batna,
Tigherghar,Batna,
Tilatou,Batna,
Timgad,Batna,
Zanat El Beida,Batna,
Adekar,Béjaïa,
Ait Djellil,Béjaïa,
Aït Ksila,Béjaïa,
Aït Maouche,Béjaïa,
Aït Mellikeche,Béjaïa,
Aït R'zine,Béjaïa,
Aït Smail,Béjaïa,
Akbou,Béjaïa,
Akfadou,Béjaïa,
Amalou,Béjaïa,
Amizour,Béjaïa,
Aokas,Béjaïa,
Barbacha,Béjaïa,
Béjaïa,Béjaïa,
Boudjellil,Béjaïa,
Bouhamza,Béjaïa,
Boukhelifa,Béjaïa,
Chellata,Béjaïa,
Chemini,Béjaïa,
Darguina,Béjaïa,
Draâ El Kaïd,Béjaïa,
El Kseur,Béjaïa,
Fenaïa Ilmaten,Béjaïa,
Ferraoun,Béjaïa,
Ighil Ali,Béjaïa,
Ighram,Béjaïa,
Kendira,Béjaïa,
Kherrata,Béjaïa,
Leflaye,Béjaïa,
M'cisna,Béjaïa,
Melbou,Béjaïa,
Oued Ghir,Béjaïa,
Ouzellaguen,Béjaïa,
Seddouk,Béjaïa,
Semaoun,Béjaïa,
Sidi Aïch,Béjaïa,
Sidi Ayad,Béjaïa,
Souk El Ténine,Béjaïa,
Souk Oufella,Béjaïa,
Tala Hamza,Béjaïa,
Tamokra,Béjaïa,
Tamridjet,Béjaïa,
Taourirt Ighil,Béjaïa,
Taskriout,Béjaïa,
Tazmalt,Béjaïa,
Tibane,Béjaïa,
Tichy,Béjaïa,
Tifra,Béjaïa,
Timezrit,Béjaïa,
Tinabdher,Béjaïa,
Tizi N'Berber,Béjaïa,
Toudja,Béjaïa,
Aïn Naga,Biskra,
Aïn Zaatout,Biskra,
Besbes,Biskra,
Biskra,Biskra,
Bordj Ben Azzouz,Biskra,
Bouchagroune,Biskra,
Branis,Biskra,
Chetma,Biskra,
Djemorah,Biskra,
Doucen,Biskra,
Ech Chaïba,Biskra,
El Feidh,Biskra,
El Ghrous,Biskra,
El Hadjeb,Biskra,
El Haouch,Biskra,
El Kantara,Biskra,
El Mizaraa,Biskra,
El Outaya,Biskra,
Foughala,Biskra,
Khenguet Sidi Nadji,Biskra,
Lichana,Biskra,
Lioua,Biskra,
M'Chouneche,Biskra,
M'Lili,Biskra,
Mekhadma,Biskra,
Ouled Djellal,Biskra,
Oumache,Biskra,
Ourlal,Biskra,
Ras El Miaad,Biskra,
Sidi Khaled,Biskra,
Sidi Okba,Biskra,
Tolga,Biskra,
Zeribet El Oued,Biskra,
Abadla,Béchar,
Béchar,Béchar,
Béni Abbès,Béchar,
Beni Ikhlef,Béchar,
Beni Ounif,Béchar,
Boukais,Béchar,
El Ouata,Béchar,
Erg Ferradj,Béchar,
Igli,Béchar,
Kenadsa,Béchar,
Kerzaz,Béchar,
Ksabi,Béchar,
Lahmar,Béchar,
